YEAR,protected_status,richness,shannon,simpson
1999,0,1,1.0,1.0
2000,0,0,1.0,Inf
2004,0,3,1.718166798042994,1.5508000390764745
2006,0,1,1.0,1.0
2008,0,1,1.0,1.0
2010,0,2,1.0064542961251233,1.001581394360145
2012,0,1,1.0,1.0
2014,0,1,1.0,1.0
2016,0,0,1.0,Inf
1999,1,1,1.0,1.0
2000,1,1,1.0,1.0
2004,1,4,1.9231927687079198,1.811330221555864
2006,1,1,1.0,1.0
2008,1,1,1.0,1.0
2010,1,1,1.0,1.0
2012,1,3,2.370604019776436,2.0690020408690484
2014,1,3,2.117293748602316,2.035351650485351
2016,1,1,1.0,1.0
1999,2,3,1.149061943993738,1.061527544519586
2000,2,1,1.0,1.0
2004,2,7,1.1361035600844869,1.0431060988891752
2006,2,2,1.1538481005185242,1.0669664326043016
2008,2,6,2.4636175700291045,2.11673408614269
2010,2,4,2.544662381073936,2.3659309563073916
2012,2,3,1.130097179258949,1.0518755912572002
2014,2,4,2.0137008146363944,1.9568473186167135
2016,2,1,1.0,1.0
1999,all,4,1.834121908511182,1.6798800094970592
2000,all,2,1.0446917602490355,1.014927277967387
2004,all,8,1.715687753886648,1.3639832836019528
2006,all,2,1.7562638294681596,1.60199216939751
2008,all,7,3.037262728616833,2.478503881668175
2010,all,5,3.0867787838106517,2.7169282400277575
2012,all,4,1.2796849722403756,1.1092770642919305
2014,all,5,2.1123612043925517,2.042046759394266
2016,all,2,1.1023626971366893,1.0404879416516604
