YEAR,protected_status,richness,simpson,shannon
1999,0,5,1.5371471527330678,2.0730021228405366
2000,0,4,1.693246377625292,2.2515129776728275
2004,0,13,3.125504278303421,4.926380987590053
2006,0,8,4.189256156418539,4.734477896618639
2008,0,8,5.89503959538271,6.895012141965126
2010,0,13,3.6474334792625247,5.145825723294115
2012,0,11,2.57517496196255,3.3252120008475625
2014,0,11,1.9775396863565597,2.4312215451596684
2016,0,7,2.6849419842759827,3.152588949473294
1999,1,9,1.7830723442053884,2.581169563213228
2000,1,10,1.1395890316818207,1.4067384147347142
2004,1,13,2.3077169994198687,2.8083669254225865
2006,1,12,2.224664635268343,3.735054871872798
2008,1,14,1.4951447004646654,2.113138856235549
2010,1,12,2.4025050139236743,3.591432419479259
2012,1,11,1.2277057441064942,1.675414929651946
2014,1,11,2.0037885699358746,2.8014201486657946
2016,1,11,1.1500217329466178,1.4340023039989211
1999,2,10,1.448969340252021,1.9910928163694792
2000,2,11,1.4253056977702845,1.9199491260013812
2004,2,14,2.060451946211949,3.349485539068037
2006,2,16,1.5450155532600416,2.4767362335907817
2008,2,15,2.1195137137502464,3.309489249758013
2010,2,13,1.3751361825723607,1.9721282053433895
2012,2,14,2.829328268347053,3.3551370435619012
2014,2,16,1.6556463047406982,2.4932295562939006
2016,2,11,1.9460481012331392,2.932608184230821
1999,all,12,1.7802740156845014,2.754398322335743
2000,all,14,1.3566189561207154,1.853340374617196
2004,all,17,3.118363762981543,4.942165845037921
2006,all,18,1.8328926600468687,3.1884031542155733
2008,all,16,1.9048827451753283,3.161086064414288
2010,all,17,1.6692735806213184,2.7850577065186197
2012,all,16,2.8414539843382043,3.582697834313412
2014,all,18,1.7581302360793438,2.6586367040130154
2016,all,14,1.4985440964256993,2.271341418769952
