estuary,site,do,nutrients ,eutrophic,hpd
A,1,8.1,92,2,450
A,2,9.4,88,2,482
A,3,8.6,89,2,500
A,4,8.3,90,2,489
A,5,6.7,97,2,660
A,6,7.6,95,2,526
A,7,7,96,2,570
A,8,8.2,91,2,545
A,9,5.8,99,2,650
A,10,7.7,94,2,613
B,1,8.2,77,1,326
B,2,8.2,76,1,345
B,3,9.1,68,1,301
B,4,9.9,61,1,250
B,5,9.4,66,1,279
B,6,9.8,62,1,326
B,7,8.6,74,1,406
B,8,9,69,1,305
B,9,9.6,65,1,199
B,10,8.6,73,1,276
C,1,8.3,87,2,450
C,2,7.3,93,2,482
C,3,7.8,92,2,500
C,4,8,90,2,489
C,5,7.6,94,2,660
C,6,9.4,85,2,403
C,7,5.7,98,2,703
C,8,7.8,91,2,489
C,9,7.2,96,2,650
C,10,7.2,95,2,613
D,1,10,56,1,264
D,2,10.3,54,1,222
D,3,9.5,61,1,268
D,4,9.7,57,1,305
D,5,11.7,48,1,213
D,6,11,51,1,201
D,7,10.8,52,1,181
D,8,8.8,67,1,300
D,9,9.5,59,1,299
D,10,9.2,64,1,279
