Case,taste,Acetic,H2S,Lactic,farm,observer
13,0.7,4.477,2.996,1.06,wisconson,A
28,0.7,5.328,3.912,1.25,wisconson,C
30,5.5,6.176,4.787,1.25,wisconson,B
5,5.6,4.663,3.807,0.99,wisconson,B
18,6.4,5.412,4.7,1.49,wisconson,C
26,11.6,6.043,3.219,1.46,wisconson,C
1,12.3,4.543,3.135,0.86,wisconson,A
29,13.4,5.802,6.685,1.08,wisconson,A
21,14,4.564,4.949,1.15,wisconson,B
22,15.2,5.298,5.22,1.33,wisconson,B
17,15.9,4.787,3.912,1.16,wisconson,C
25,16.8,5.366,3.664,1.31,wisconson,A
19,18,5.247,6.174,1.63,wisconson,A
9,18.1,4.898,3.85,1.29,vermont,C
2,20.9,5.159,5.043,1.53,vermont,A
10,21,5.242,4.174,1.58,vermont,B
8,21.9,6.078,7.966,1.78,vermont,A
6,25.9,5.697,7.601,1.09,vermont,C
14,25.9,5.236,4.942,1.3,vermont,C
27,26.5,6.458,6.962,1.72,vermont,B
23,32,5.455,9.242,1.44,vermont,B
11,34.9,5.74,6.142,1.68,vermont,B
7,37.3,5.892,8.726,1.29,vermont,B
20,38.9,5.438,9.064,1.99,vermont,C
3,39,5.366,5.438,1.57,vermont,A
16,40.9,6.365,9.588,1.74,vermont,A
4,47.9,5.759,7.496,1.81,vermont,A
15,54.9,6.151,6.752,1.52,vermont,C
24,56.7,5.855,10.199,2.01,vermont,B
12,57.2,6.446,7.908,1.9,vermont,B
