YEAR,protected_status,dom_richness,dom_simpson,dom_shannon
1999,0,141,16.578734573398577,29.767684973064437
1999,1,169,7.530455229877937,18.519745494763562
1999,2,166,13.045143124946323,27.091642474734233
1999,all,200,13.901426515366804,28.63503919862596
2000,0,127,14.946812042940104,26.135392895185152
2000,1,154,5.706236084516205,15.22769782438025
2000,2,180,10.0445226359944,21.01220036249301
2000,all,197,12.195998032450662,25.616099747903124
2004,0,174,12.053490966682658,25.53196385282842
2004,1,171,14.947653067419056,24.016479095541964
2004,2,222,5.30505804405548,14.44528319678889
2004,all,242,10.342848487875463,23.758904695418597
2006,0,163,11.301846202566894,22.645698561238188
2006,1,177,5.289469125355002,10.901595315431281
2006,2,220,9.0379864253241191,18.31767753975032
2006,all,248,7.762656044477675,16.704158892365527
2008,0,182,5.992920328842853,15.575657824818125
2008,1,180,2.5887195598717248,6.95886750027984
2008,2,223,10.72406635920032,21.94525006171414
2008,all,244,5.43934734484337,15.791186328742194
2010,0,171,16.18092838592344,28.269421570697133
2010,1,177,10.13921059148463,21.660217850896803
2010,2,215,14.7377764390761,25.411070411078047
2010,all,237,14.991190478075108,27.69646128884492
2012,0,184,12.388120447110028,23.36276972371359
2012,1,190,7.277704654381316,19.958324826868694
2012,2,229,12.174012052398545,23.741981293063724
2012,all,253,12.038125090689507,25.546161653722457
2014,0,195,4.126990841490781,11.151732714058662
2014,1,183,3.6499783962001784,9.794424390022762
2014,2,221,5.3011299368904226,15.589323995522943
2014,all,249,4.481674233179257,13.352957662272429
2016,0,156,14.311440942131872,28.299720117116397
2016,1,164,18.070182417755223,29.990291675857893
2016,2,214,20.674165101015202,32.34655723306889
2016,all,236,21.867289130588826,34.707593524009205
